# COLDARRI   COLDARRX   COLDARRY   COLDARRZ
#
      1328       5.10        255    88.6363
      1331       3.30         60    96.0484
      1332       3.20         70    18.8335
      1333       2.30         55    52.6138
      1335       5.30         90    89.3077
      1338       2.40        250    11.9683
      1339       5.30        225    90.3146
      1340       2.50        135     17.551
      1341       2.80        180     5.7111
      1343       2.10         45    71.8414
      1344       2.10        150    52.9074
      1345       2.20        110     31.279
      1347       5.10        100    84.9412
      1348       3.70        205    69.6984
      1352       3.90        285    55.5633
      1353       3.50         90    30.2364
      1357       2.60        200    8.67397
      1358       2.90        105    9.93961
      1359       2.20        195    43.5775
      1363       5.10        205    88.2007
      1365       5.10        150     87.048
      1366       3.60        180    21.8034
      1367       4.70        255    86.9508
      1368       3.90         70    28.4874
      1371       2.40        245     68.535
      1372       5.00        210    84.8414
      1373       3.30        275    11.1524
      1377       2.40         90    29.2867
      1378       4.90        185    74.6732
      1379       2.90        180    7.80489
      1380       4.30         25     27.108
      1381       5.20        225    87.5294
      1382       2.40        120    10.3902
      1383       2.80        250    45.7098
      1384       2.40        260     8.9255
      1388       3.10        145     3.5336
      1390       2.40        195    7.53346
      1391       2.20         65    44.2542
      1392       2.80         60     17.366
      1393       2.00        245    74.5017
      1394       3.20         65    39.7779
      1395       4.70         95     78.875
      1396       3.70        195    31.0879
      1398       3.90         65     20.617
      1399       5.10        280    89.6653
      1400       3.80         40    30.9596
      1401       3.30        135    4.66457
      1404       3.60        220    64.7178
      1405       2.20         60    35.0713
      1408       2.00        155    10.2489
      1411       5.40        250    91.0565
      1412       4.40        245    82.0398
      1413       2.70        105    83.4728
      1415       2.10        120    32.5488
      1416       5.00        185    88.0747
      1419       2.60        260    38.9077
      1421       2.00        165    16.4991
      1422       5.20        300     88.361
      1424       3.30        245    10.0817
      1427       2.70         90    18.9018
      1429       4.70        230    79.8251
      1430       5.50        265    91.9748
      1433       5.10        245     86.948
      1436       4.10         45     41.291
      1439       3.90        115    38.0299
      1443       4.10        275    62.0872
      1447       3.50        125      89.97
      1448       3.20         55    13.3149
      1449       4.00         35    42.7223
      1451       2.20        245    14.6449
      1452       2.40        260    6.14832
      1454       2.00        300     188.01
      1456       4.40        295    86.0832
      1458       2.00        280    58.1365
      1460       3.00         50    18.2742
      1461       3.10         65    10.3737
      1464       5.30        270    90.3081
      1466       4.70        270    80.1933
      1468       4.20         55     46.304
      1469       4.90        190     86.787
      1470       4.80        205    87.5952
      1471       3.70        275     41.696
      1473       3.40         45     11.203
      1475       4.70        190    86.5565
      1476       2.40        300    91.3642
      1480       4.50        235    84.5021
      1482       2.10        130    30.9158
      1483       2.20         65    19.3878
      1484       3.20         40    1.71596
      1485       5.10        125    82.5762
      1489       5.50        280    92.0242
      1490       4.60        195    85.3454
      1491       3.50         70    87.3345
      1492       2.50         50    50.7674
      1494       3.60        260    30.4041
      1497       4.80         30      67.19
      1498       4.50        145      79.88
      1500       4.30        165    76.2381
      1502       2.40         40     46.812
      1504       2.90        140    5.29695
      1506       2.80        255     59.411
      1508       5.00        120    85.3979
      1510       2.10        195    87.4198
      1512       4.20        235    74.6847
      1516       4.20        145    63.6225
      1518       4.20         45    42.6183
      1519       3.80        185    40.7685
      1521       4.30        240    78.4834
      1522       3.80        180    39.0144
      1524       3.80        225    45.5307
      1525       2.60        230    4.75613
      1526       3.00         80    9.18047
      1529       2.70         90     97.806
      1530       2.80        285    2.18526
      1532       2.90        150    6.54064
      1533       5.40        300    92.0861
      1534       3.50         50    8.52668
      1537       3.20        300    8.20788
      1538       2.00         40    43.8628
      1540       2.30        135    22.9891
      1541       3.80         75     16.433
      1542       6.20        270    115.019
      1544       5.30        275    89.0343
      1545       2.40        225    11.0695
      1546       4.80        250    78.2463
      1548       2.80         90    14.5602
      1550       2.90         65     34.138
      1553       5.10         45     81.368
      1555       3.30         60    7.76811
      1556       5.50        255    88.9291
      1557       2.50         60     93.746
      1558       2.30         25    64.2363
      1559       3.70        140    23.4628
      1561       4.60        110    77.6448
      1562       4.40         50    54.6126
      1563       2.80         70    13.4942
