# WARMARRI   WARMARRX   WARMARRY   WARMARRZ
#
      1680       4.60        275    77.6956
      1681       3.60         45    142.382
      1682       4.70         60    8.31688
      1684       4.10         90    40.1632
      1687       5.30        245    49.1111
      1688       5.50        215    29.2898
      1690       6.30         25    92.0339
      1691       5.30         25     74.007
      1693       5.30        155    17.4603
      1694       4.40        220    43.7181
      1695       3.90        135    64.8485
      1697       3.40        240    91.3969
      1699       6.50        215    64.7372
      1700       5.10         30    74.8753
      1702       3.60         45    91.7471
      1704       6.10         60    48.7662
      1707       5.10         80    83.6402
      1708       3.40        275    81.6363
      1713       3.30         40    208.816
      1717       4.20         40    20.9362
      1719       3.70        120    81.9596
      1721       6.40         95    2.85964
      1723       6.50        270    86.5603
      1724       5.10        185    9.67732
      1726       5.30        165    52.3254
      1728       6.50        285    36.4167
      1729       6.50        105     88.877
      1732       5.40        255    87.0068
      1733       6.50        240    56.6621
      1734       4.50        275     80.622
      1735       5.80        195     13.047
      1736       6.50        280    26.0458
      1737       5.50         50    61.9362
      1738       3.70        295    85.2859
      1739       6.20         80    4.48526
      1740       6.50        145    86.7435
