#        i0           chi2        i1             a1        i2             a2        T_{kin}        n_{H_2}        M_{H_2}        T_{kin}        n_{H_2}        M_{H_2}
#
     770867        55.6462      5681        18.4992     12217        2.78873             55        19952.6    4.72302e+08             90    3.16228e+06    7.48549e+10
    4302303         97.816     31730        48.8694      7277              0            205        2511.89    5.94594e+07             65        3162.28    7.48549e+07
     899052        63.1809      6631        9.21846       532        40.6305             60        50118.7    1.18637e+09             25        63095.7    1.49355e+09
    4806217        83.9932     35435        2.04513     37563        1.72636            225        31622.8    7.48549e+08            235    3.16228e+06    7.48549e+10
    5236215         5.1744     38608        188.097     33877        2.30816            245        630.957    1.49355e+07            215         316228    7.48549e+09
    3900891        112.989     28766              0     15713        6.57242            185    1.58489e+06    3.75163e+10            110    3.16228e+06    7.48549e+10
    1191009        37.2159      8778        4229.27     17043        7.66975             75        158.489    3.75163e+06            120        19952.6    4.72302e+08
    1560202        56.3464     11495        476.245     32718        6.84331             90        501.187    1.18637e+07            210          10000    2.36712e+08
    2266979        220.985     16720        1197.13      1881              0            120        398.107    9.42367e+06             35        501.187    1.18637e+07
    6456136        74.4709     47614        2.25155     12920        5.17377            295        15848.9    3.75163e+08             95         398107    9.42367e+09
    2065880        84.9986     15219        20.9607     47576              0            110        7943.28    1.88027e+08            295          10000    2.36712e+08
    3451628        66.5644     25441        643.591     44916         8.5045            170        316.228    7.48549e+06            280        6309.57    1.49355e+08
      77551        86.3176       570         73.499      5149              0             25         100000    2.36712e+09             50    1.25892e+06    2.98003e+10
     118545        394.848       874              0       931        10885.2             30            100    2.36712e+06             30        199.526    4.72302e+06
    2921776        84.8316     21546        3.81338     11248        3.49731            145         100000    2.36712e+09             85          1e+06    2.36712e+10
       5311        26.3328        38        4995.14      3021         52.242             25        158.489    3.75163e+06             40        12589.2    2.98003e+08
    4479893        101.045     33041        2.08627      4351        8.47349            210         501187    1.18637e+10             45    3.16228e+06    7.48549e+10
    3466821        32.9762     25555        80.9529     39919        2.03909            170        1258.92    2.98003e+07            250         125892    2.98003e+09
    1223846        124.929      9025        76.9969      4674              0             75        3162.28    7.48549e+07             50        3981.07    9.42367e+07
    1114242        44.9501      8208        25.3912     26790        2.19803             70        6309.57    1.49355e+08            175         100000    2.36712e+09
    5262997        51.2845     38817        5.45137      4351         13.082            245        7943.28    1.88027e+08             45    3.16228e+06    7.48549e+10
    1904635        223.756     14041              0     18449        1648.64            105        199.526    4.72302e+06            130        316.228    7.48549e+06
    3469426        96.0149     25574       0.755416     40470        41.3365            170        1584.89    3.75163e+07            255        2511.89    5.94594e+07
    4899385        93.4556     36119        28.4074     45771        2.22867            230        3162.28    7.48549e+07            285        5011.87    1.18637e+08
    1191879        51.7045      8778        3823.81     33573        9.09464             75        158.489    3.75163e+06            215        7943.28    1.88027e+08
    1555351        26.4976     11457        1130.49     38437        2.03358             90        316.228    7.48549e+06            240    3.16228e+06    7.48549e+10
